Gender,Hour of Start Time,Weekday of Start Time,Count of Trips
Female,"June 23, 2019 at 10 AM",Sunday,236
Male,"June 23, 2019 at 9 AM",Sunday,263
Female,"June 23, 2019 at 9 AM",Sunday,152
Male,"June 23, 2019 at 8 AM",Sunday,175
Female,"June 23, 2019 at 8 AM",Sunday,85
Male,"June 23, 2019 at 7 AM",Sunday,53
Female,"June 23, 2019 at 7 AM",Sunday,28
Male,"June 23, 2019 at 6 AM",Sunday,38
Female,"June 23, 2019 at 6 AM",Sunday,17
Male,"June 23, 2019 at 5 AM",Sunday,32
Female,"June 23, 2019 at 5 AM",Sunday,10
Male,"June 23, 2019 at 4 AM",Sunday,28
Female,"June 23, 2019 at 4 AM",Sunday,1
Male,"June 23, 2019 at 3 AM",Sunday,47
Female,"June 23, 2019 at 3 AM",Sunday,8
Male,"June 23, 2019 at 2 AM",Sunday,58
Female,"June 23, 2019 at 2 AM",Sunday,11
Male,"June 23, 2019 at 1 AM",Sunday,89
Female,"June 23, 2019 at 1 AM",Sunday,19
Male,"June 23, 2019 at 12 AM",Sunday,140
Female,"June 23, 2019 at 12 AM",Sunday,45
Male,"June 16, 2019 at 11 PM",Sunday,90
Female,"June 16, 2019 at 11 PM",Sunday,28
Male,"June 16, 2019 at 10 PM",Sunday,136
Female,"June 16, 2019 at 10 PM",Sunday,42
Male,"June 16, 2019 at 9 PM",Sunday,152
Female,"June 16, 2019 at 9 PM",Sunday,35
Male,"June 16, 2019 at 8 PM",Sunday,200
Female,"June 16, 2019 at 8 PM",Sunday,65
Male,"June 16, 2019 at 7 PM",Sunday,256
Female,"June 16, 2019 at 7 PM",Sunday,88
Male,"June 16, 2019 at 6 PM",Sunday,274
Female,"June 16, 2019 at 6 PM",Sunday,112
Male,"June 16, 2019 at 5 PM",Sunday,397
Female,"June 16, 2019 at 5 PM",Sunday,173
Male,"June 16, 2019 at 4 PM",Sunday,451
Female,"June 16, 2019 at 4 PM",Sunday,159
Male,"June 16, 2019 at 3 PM",Sunday,419
Female,"June 16, 2019 at 3 PM",Sunday,207
Male,"June 16, 2019 at 2 PM",Sunday,405
Female,"June 16, 2019 at 2 PM",Sunday,217
Male,"June 16, 2019 at 1 PM",Sunday,412
Female,"June 16, 2019 at 1 PM",Sunday,234
Male,"June 16, 2019 at 12 PM",Sunday,420
Female,"June 16, 2019 at 12 PM",Sunday,208
Male,"June 16, 2019 at 11 AM",Sunday,367
Female,"June 16, 2019 at 11 AM",Sunday,170
Male,"June 16, 2019 at 10 AM",Sunday,366
Female,"June 16, 2019 at 10 AM",Sunday,186
Male,"June 16, 2019 at 9 AM",Sunday,198
Female,"June 16, 2019 at 9 AM",Sunday,123
Male,"June 16, 2019 at 8 AM",Sunday,131
Female,"June 16, 2019 at 8 AM",Sunday,76
Male,"June 16, 2019 at 7 AM",Sunday,73
Female,"June 16, 2019 at 7 AM",Sunday,40
Male,"June 16, 2019 at 6 AM",Sunday,41
Female,"June 16, 2019 at 6 AM",Sunday,26
Male,"June 16, 2019 at 5 AM",Sunday,24
Female,"June 16, 2019 at 5 AM",Sunday,8
Male,"June 16, 2019 at 4 AM",Sunday,17
Female,"June 16, 2019 at 4 AM",Sunday,2
Male,"June 16, 2019 at 3 AM",Sunday,23
Female,"June 16, 2019 at 3 AM",Sunday,3
Male,"June 16, 2019 at 2 AM",Sunday,19
Female,"June 16, 2019 at 2 AM",Sunday,3
Male,"June 16, 2019 at 1 AM",Sunday,25
Female,"June 16, 2019 at 1 AM",Sunday,8
Male,"June 16, 2019 at 12 AM",Sunday,72
Female,"June 16, 2019 at 12 AM",Sunday,16
Male,"June 9, 2019 at 11 PM",Sunday,67
Female,"June 9, 2019 at 11 PM",Sunday,19
Male,"June 9, 2019 at 10 PM",Sunday,111
Female,"June 9, 2019 at 10 PM",Sunday,34
Male,"June 9, 2019 at 9 PM",Sunday,159
Female,"June 9, 2019 at 9 PM",Sunday,65
Male,"June 9, 2019 at 8 PM",Sunday,242
Female,"June 9, 2019 at 8 PM",Sunday,87
Male,"June 9, 2019 at 7 PM",Sunday,343
Female,"June 9, 2019 at 7 PM",Sunday,137
Male,"June 9, 2019 at 6 PM",Sunday,410
Female,"June 9, 2019 at 6 PM",Sunday,202
Male,"June 9, 2019 at 5 PM",Sunday,455
Female,"June 9, 2019 at 5 PM",Sunday,209
Male,"June 9, 2019 at 4 PM",Sunday,476
Female,"June 9, 2019 at 4 PM",Sunday,201
Male,"June 9, 2019 at 3 PM",Sunday,458
Female,"June 9, 2019 at 3 PM",Sunday,206
Male,"June 9, 2019 at 2 PM",Sunday,358
Female,"June 9, 2019 at 2 PM",Sunday,154
Male,"June 9, 2019 at 1 PM",Sunday,274
Female,"June 9, 2019 at 1 PM",Sunday,110
Male,"June 9, 2019 at 12 PM",Sunday,267
Female,"June 9, 2019 at 12 PM",Sunday,117
Male,"June 9, 2019 at 11 AM",Sunday,253
Female,"June 9, 2019 at 11 AM",Sunday,123
Male,"June 9, 2019 at 10 AM",Sunday,270
Female,"June 9, 2019 at 10 AM",Sunday,157
Male,"June 9, 2019 at 9 AM",Sunday,218
Female,"June 9, 2019 at 9 AM",Sunday,115
Male,"June 9, 2019 at 8 AM",Sunday,176
Female,"June 9, 2019 at 8 AM",Sunday,78
Male,"June 9, 2019 at 7 AM",Sunday,81
Female,"June 9, 2019 at 7 AM",Sunday,49
Male,"June 9, 2019 at 6 AM",Sunday,55
Female,"June 9, 2019 at 6 AM",Sunday,20
Male,"June 9, 2019 at 5 AM",Sunday,28
Female,"June 9, 2019 at 5 AM",Sunday,8
Male,"June 9, 2019 at 4 AM",Sunday,20
Female,"June 9, 2019 at 4 AM",Sunday,2
Male,"June 9, 2019 at 3 AM",Sunday,27
Female,"June 9, 2019 at 3 AM",Sunday,6
Male,"June 9, 2019 at 2 AM",Sunday,46
Female,"June 9, 2019 at 2 AM",Sunday,9
Male,"June 9, 2019 at 1 AM",Sunday,89
Female,"June 9, 2019 at 1 AM",Sunday,19
Male,"June 9, 2019 at 12 AM",Sunday,139
Female,"June 9, 2019 at 12 AM",Sunday,32
Male,"June 2, 2019 at 11 PM",Sunday,71
Female,"June 2, 2019 at 11 PM",Sunday,11
Male,"June 2, 2019 at 10 PM",Sunday,128
Female,"June 2, 2019 at 10 PM",Sunday,26
Male,"June 2, 2019 at 9 PM",Sunday,182
Female,"June 2, 2019 at 9 PM",Sunday,64
Male,"June 2, 2019 at 8 PM",Sunday,257
Female,"June 2, 2019 at 8 PM",Sunday,115
Male,"June 2, 2019 at 7 PM",Sunday,382
Female,"June 2, 2019 at 7 PM",Sunday,188
Male,"June 2, 2019 at 6 PM",Sunday,507
Female,"June 2, 2019 at 6 PM",Sunday,263
Male,"June 2, 2019 at 5 PM",Sunday,591
Female,"June 2, 2019 at 5 PM",Sunday,320
Male,"June 2, 2019 at 4 PM",Sunday,672
Female,"June 2, 2019 at 4 PM",Sunday,331
Male,"June 2, 2019 at 3 PM",Sunday,699
Female,"June 2, 2019 at 3 PM",Sunday,363
Male,"June 2, 2019 at 2 PM",Sunday,696
Female,"June 2, 2019 at 2 PM",Sunday,429
Male,"June 2, 2019 at 1 PM",Sunday,665
Female,"June 2, 2019 at 1 PM",Sunday,385
Male,"June 2, 2019 at 12 PM",Sunday,594
Female,"June 2, 2019 at 12 PM",Sunday,364
Male,"June 2, 2019 at 11 AM",Sunday,587
Female,"June 2, 2019 at 11 AM",Sunday,345
Male,"June 2, 2019 at 10 AM",Sunday,418
Female,"June 2, 2019 at 10 AM",Sunday,255
Male,"June 2, 2019 at 9 AM",Sunday,305
Female,"June 2, 2019 at 9 AM",Sunday,187
Male,"June 2, 2019 at 8 AM",Sunday,191
Female,"June 2, 2019 at 8 AM",Sunday,119
Male,"June 2, 2019 at 7 AM",Sunday,90
Female,"June 2, 2019 at 7 AM",Sunday,75
Male,"June 2, 2019 at 6 AM",Sunday,57
Female,"June 2, 2019 at 6 AM",Sunday,36
Male,"June 2, 2019 at 5 AM",Sunday,31
Female,"June 2, 2019 at 5 AM",Sunday,9
Male,"June 2, 2019 at 4 AM",Sunday,16
Female,"June 2, 2019 at 4 AM",Sunday,1
Male,"June 2, 2019 at 3 AM",Sunday,16
Female,"June 2, 2019 at 3 AM",Sunday,8
Male,"June 2, 2019 at 2 AM",Sunday,61
Female,"June 2, 2019 at 2 AM",Sunday,7
Male,"June 2, 2019 at 1 AM",Sunday,50
Female,"June 2, 2019 at 1 AM",Sunday,10
Male,"June 2, 2019 at 12 AM",Sunday,60
Female,"June 2, 2019 at 12 AM",Sunday,17
Male,"May 26, 2019 at 11 PM",Sunday,90
Female,"May 26, 2019 at 11 PM",Sunday,26
Male,"May 26, 2019 at 10 PM",Sunday,117
Female,"May 26, 2019 at 10 PM",Sunday,52
Male,"May 26, 2019 at 9 PM",Sunday,152
Female,"May 26, 2019 at 9 PM",Sunday,55
Male,"May 26, 2019 at 8 PM",Sunday,238
Female,"May 26, 2019 at 8 PM",Sunday,92
Male,"May 26, 2019 at 7 PM",Sunday,337
Female,"May 26, 2019 at 7 PM",Sunday,175
Male,"May 26, 2019 at 6 PM",Sunday,424
Female,"May 26, 2019 at 6 PM",Sunday,192
Male,"May 26, 2019 at 5 PM",Sunday,526
Female,"May 26, 2019 at 5 PM",Sunday,265
Male,"May 26, 2019 at 4 PM",Sunday,405
Female,"May 26, 2019 at 4 PM",Sunday,230
Male,"May 26, 2019 at 3 PM",Sunday,430
Female,"May 26, 2019 at 3 PM",Sunday,236
Male,"May 26, 2019 at 2 PM",Sunday,461
Female,"May 26, 2019 at 2 PM",Sunday,214
Male,"May 26, 2019 at 1 PM",Sunday,388
Female,"May 26, 2019 at 1 PM",Sunday,191
Male,"May 26, 2019 at 12 PM",Sunday,388
Female,"May 26, 2019 at 12 PM",Sunday,204
Male,"May 26, 2019 at 11 AM",Sunday,290
Female,"May 26, 2019 at 11 AM",Sunday,160
Male,"May 26, 2019 at 10 AM",Sunday,216
Female,"May 26, 2019 at 10 AM",Sunday,110
Male,"May 26, 2019 at 9 AM",Sunday,180
Female,"May 26, 2019 at 9 AM",Sunday,98
Male,"May 26, 2019 at 8 AM",Sunday,112
Female,"May 26, 2019 at 8 AM",Sunday,69
Male,"May 26, 2019 at 7 AM",Sunday,87
Female,"May 26, 2019 at 7 AM",Sunday,41
Male,"May 26, 2019 at 6 AM",Sunday,55
Female,"May 26, 2019 at 6 AM",Sunday,32
Male,"May 26, 2019 at 5 AM",Sunday,25
Female,"May 26, 2019 at 5 AM",Sunday,13
Male,"May 26, 2019 at 4 AM",Sunday,15
Female,"May 26, 2019 at 4 AM",Sunday,4
Male,"May 26, 2019 at 3 AM",Sunday,20
Female,"May 26, 2019 at 3 AM",Sunday,7
Male,"May 26, 2019 at 2 AM",Sunday,36
Female,"May 26, 2019 at 2 AM",Sunday,4
Male,"May 26, 2019 at 1 AM",Sunday,54
Female,"May 26, 2019 at 1 AM",Sunday,8
Male,"May 26, 2019 at 12 AM",Sunday,87
Female,"May 26, 2019 at 12 AM",Sunday,22
Male,"May 19, 2019 at 11 PM",Sunday,61
Female,"May 19, 2019 at 11 PM",Sunday,10
Male,"May 19, 2019 at 10 PM",Sunday,107
Female,"May 19, 2019 at 10 PM",Sunday,25
Male,"May 19, 2019 at 9 PM",Sunday,150
Female,"May 19, 2019 at 9 PM",Sunday,48
Male,"May 19, 2019 at 8 PM",Sunday,182
Female,"May 19, 2019 at 8 PM",Sunday,55
Male,"May 19, 2019 at 7 PM",Sunday,368
Female,"May 19, 2019 at 7 PM",Sunday,148
Male,"May 19, 2019 at 6 PM",Sunday,467
Female,"May 19, 2019 at 6 PM",Sunday,229
Male,"May 19, 2019 at 5 PM",Sunday,470
Female,"May 19, 2019 at 5 PM",Sunday,237
Male,"May 19, 2019 at 4 PM",Sunday,499
Female,"May 19, 2019 at 4 PM",Sunday,220
Male,"May 19, 2019 at 3 PM",Sunday,326
Female,"May 19, 2019 at 3 PM",Sunday,127
Male,"May 19, 2019 at 2 PM",Sunday,253
Female,"May 19, 2019 at 2 PM",Sunday,122
Male,"May 19, 2019 at 1 PM",Sunday,336
Female,"May 19, 2019 at 1 PM",Sunday,152
Male,"May 19, 2019 at 12 PM",Sunday,421
Female,"May 19, 2019 at 12 PM",Sunday,175
Male,"May 19, 2019 at 11 AM",Sunday,285
Female,"May 19, 2019 at 11 AM",Sunday,157
Male,"May 19, 2019 at 10 AM",Sunday,243
Female,"May 19, 2019 at 10 AM",Sunday,114
Male,"May 19, 2019 at 9 AM",Sunday,199
Female,"May 19, 2019 at 9 AM",Sunday,89
Male,"May 19, 2019 at 8 AM",Sunday,124
Female,"May 19, 2019 at 8 AM",Sunday,68
Male,"May 19, 2019 at 7 AM",Sunday,90
Female,"May 19, 2019 at 7 AM",Sunday,44
Male,"May 19, 2019 at 6 AM",Sunday,50
Female,"May 19, 2019 at 6 AM",Sunday,20
Male,"May 19, 2019 at 5 AM",Sunday,25
Female,"May 19, 2019 at 5 AM",Sunday,6
Male,"May 19, 2019 at 4 AM",Sunday,7
Female,"May 19, 2019 at 4 AM",Sunday,1
Male,"May 19, 2019 at 3 AM",Sunday,23
Female,"May 19, 2019 at 3 AM",Sunday,4
Male,"May 19, 2019 at 2 AM",Sunday,20
Female,"May 19, 2019 at 2 AM",Sunday,2
Male,"May 19, 2019 at 1 AM",Sunday,43
Female,"May 19, 2019 at 1 AM",Sunday,7
Male,"May 19, 2019 at 12 AM",Sunday,75
Female,"May 19, 2019 at 12 AM",Sunday,19
Male,"May 12, 2019 at 11 PM",Sunday,23
Female,"May 12, 2019 at 11 PM",Sunday,7
Male,"May 12, 2019 at 10 PM",Sunday,48
Female,"May 12, 2019 at 10 PM",Sunday,5
Male,"May 12, 2019 at 9 PM",Sunday,53
Female,"May 12, 2019 at 9 PM",Sunday,10
Male,"May 12, 2019 at 8 PM",Sunday,58
Female,"May 12, 2019 at 8 PM",Sunday,14
Male,"May 12, 2019 at 7 PM",Sunday,98
Female,"May 12, 2019 at 7 PM",Sunday,23
Male,"May 12, 2019 at 6 PM",Sunday,141
Female,"May 12, 2019 at 6 PM",Sunday,59
Male,"May 12, 2019 at 5 PM",Sunday,219
Female,"May 12, 2019 at 5 PM",Sunday,71
Male,"May 12, 2019 at 4 PM",Sunday,233
Female,"May 12, 2019 at 4 PM",Sunday,90
Male,"May 12, 2019 at 3 PM",Sunday,237
Female,"May 12, 2019 at 3 PM",Sunday,88
Male,"May 12, 2019 at 2 PM",Sunday,257
Female,"May 12, 2019 at 2 PM",Sunday,129
Male,"May 12, 2019 at 1 PM",Sunday,277
Female,"May 12, 2019 at 1 PM",Sunday,112
Male,"May 12, 2019 at 12 PM",Sunday,274
Female,"May 12, 2019 at 12 PM",Sunday,107
Male,"May 12, 2019 at 11 AM",Sunday,248
Female,"May 12, 2019 at 11 AM",Sunday,100
Male,"May 12, 2019 at 10 AM",Sunday,211
Female,"May 12, 2019 at 10 AM",Sunday,93
Male,"May 12, 2019 at 9 AM",Sunday,146
Female,"May 12, 2019 at 9 AM",Sunday,83
Male,"May 12, 2019 at 8 AM",Sunday,100
Female,"May 12, 2019 at 8 AM",Sunday,35
Male,"May 12, 2019 at 7 AM",Sunday,53
Female,"May 12, 2019 at 7 AM",Sunday,20
Male,"May 12, 2019 at 6 AM",Sunday,21
Female,"May 12, 2019 at 6 AM",Sunday,9
Male,"May 12, 2019 at 5 AM",Sunday,12
Female,"May 12, 2019 at 5 AM",Sunday,2
Male,"May 12, 2019 at 4 AM",Sunday,7
Female,"May 12, 2019 at 4 AM",Sunday,1
Male,"May 12, 2019 at 3 AM",Sunday,13
Female,"May 12, 2019 at 3 AM",Sunday,7
Male,"May 12, 2019 at 2 AM",Sunday,23
Female,"May 12, 2019 at 2 AM",Sunday,1
Male,"May 12, 2019 at 1 AM",Sunday,41
Female,"May 12, 2019 at 1 AM",Sunday,4
Male,"May 12, 2019 at 12 AM",Sunday,52
Female,"May 12, 2019 at 12 AM",Sunday,7
Male,"May 5, 2019 at 11 PM",Sunday,64
Female,"May 5, 2019 at 11 PM",Sunday,12
Male,"May 5, 2019 at 10 PM",Sunday,128
Female,"May 5, 2019 at 10 PM",Sunday,47
Male,"May 5, 2019 at 9 PM",Sunday,171
Female,"May 5, 2019 at 9 PM",Sunday,71
Male,"May 5, 2019 at 8 PM",Sunday,213
Female,"May 5, 2019 at 8 PM",Sunday,86
Male,"May 5, 2019 at 7 PM",Sunday,348
Female,"May 5, 2019 at 7 PM",Sunday,156
Male,"May 5, 2019 at 6 PM",Sunday,477
Female,"May 5, 2019 at 6 PM",Sunday,228
Male,"May 5, 2019 at 5 PM",Sunday,585
Female,"May 5, 2019 at 5 PM",Sunday,297
Male,"May 5, 2019 at 4 PM",Sunday,639
Female,"May 5, 2019 at 4 PM",Sunday,338
Male,"May 5, 2019 at 3 PM",Sunday,710
Female,"May 5, 2019 at 3 PM",Sunday,346
Male,"May 5, 2019 at 2 PM",Sunday,742
Female,"May 5, 2019 at 2 PM",Sunday,422
Male,"May 5, 2019 at 1 PM",Sunday,693
Female,"May 5, 2019 at 1 PM",Sunday,404
Male,"May 5, 2019 at 12 PM",Sunday,630
Female,"May 5, 2019 at 12 PM",Sunday,374
Male,"May 5, 2019 at 11 AM",Sunday,536
Female,"May 5, 2019 at 11 AM",Sunday,289
Male,"May 5, 2019 at 10 AM",Sunday,407
Female,"May 5, 2019 at 10 AM",Sunday,219
Male,"May 5, 2019 at 9 AM",Sunday,284
Female,"May 5, 2019 at 9 AM",Sunday,146
Male,"May 5, 2019 at 8 AM",Sunday,179
Female,"May 5, 2019 at 8 AM",Sunday,92
Male,"May 5, 2019 at 7 AM",Sunday,70
Female,"May 5, 2019 at 7 AM",Sunday,30
Male,"May 5, 2019 at 6 AM",Sunday,23
Female,"May 5, 2019 at 6 AM",Sunday,22
Male,"May 5, 2019 at 5 AM",Sunday,17
Female,"May 5, 2019 at 5 AM",Sunday,3
Male,"May 5, 2019 at 4 AM",Sunday,9
Female,"May 5, 2019 at 4 AM",Sunday,2
Male,"May 5, 2019 at 3 AM",Sunday,12
Female,"May 5, 2019 at 3 AM",Sunday,3
Male,"May 5, 2019 at 2 AM",Sunday,24
Female,"May 5, 2019 at 2 AM",Sunday,7
Male,"May 5, 2019 at 1 AM",Sunday,46
Female,"May 5, 2019 at 1 AM",Sunday,9
Male,"May 5, 2019 at 12 AM",Sunday,67
Female,"May 5, 2019 at 12 AM",Sunday,11
Male,"April 28, 2019 at 11 PM",Sunday,28
Female,"April 28, 2019 at 11 PM",Sunday,9
Male,"April 28, 2019 at 10 PM",Sunday,74
Female,"April 28, 2019 at 10 PM",Sunday,21
Male,"April 28, 2019 at 9 PM",Sunday,68
Female,"April 28, 2019 at 9 PM",Sunday,24
Male,"April 28, 2019 at 8 PM",Sunday,84
Female,"April 28, 2019 at 8 PM",Sunday,24
Male,"April 28, 2019 at 7 PM",Sunday,187
Female,"April 28, 2019 at 7 PM",Sunday,64
Male,"April 28, 2019 at 6 PM",Sunday,260
Female,"April 28, 2019 at 6 PM",Sunday,101
Male,"April 28, 2019 at 5 PM",Sunday,296
Female,"April 28, 2019 at 5 PM",Sunday,135
Male,"April 28, 2019 at 4 PM",Sunday,344
Female,"April 28, 2019 at 4 PM",Sunday,129
Male,"April 28, 2019 at 3 PM",Sunday,363
Female,"April 28, 2019 at 3 PM",Sunday,165
Male,"April 28, 2019 at 2 PM",Sunday,373
Female,"April 28, 2019 at 2 PM",Sunday,164
Male,"April 28, 2019 at 1 PM",Sunday,335
Female,"April 28, 2019 at 1 PM",Sunday,154
Male,"April 28, 2019 at 12 PM",Sunday,305
Female,"April 28, 2019 at 12 PM",Sunday,145
Male,"April 28, 2019 at 11 AM",Sunday,263
Female,"April 28, 2019 at 11 AM",Sunday,123
Male,"April 28, 2019 at 10 AM",Sunday,208
Female,"April 28, 2019 at 10 AM",Sunday,98
Male,"April 28, 2019 at 9 AM",Sunday,179
Female,"April 28, 2019 at 9 AM",Sunday,78
Male,"April 28, 2019 at 8 AM",Sunday,74
Female,"April 28, 2019 at 8 AM",Sunday,44
Male,"April 28, 2019 at 7 AM",Sunday,41
Female,"April 28, 2019 at 7 AM",Sunday,13
Male,"April 28, 2019 at 6 AM",Sunday,16
Female,"April 28, 2019 at 6 AM",Sunday,7
Male,"April 28, 2019 at 5 AM",Sunday,17
Female,"April 28, 2019 at 5 AM",Sunday,1
Male,"April 28, 2019 at 4 AM",Sunday,7
Male,"April 28, 2019 at 3 AM",Sunday,8
Male,"April 28, 2019 at 2 AM",Sunday,16
Female,"April 28, 2019 at 2 AM",Sunday,3
Male,"April 28, 2019 at 1 AM",Sunday,13
Female,"April 28, 2019 at 1 AM",Sunday,3
Male,"April 28, 2019 at 12 AM",Sunday,16
Female,"April 28, 2019 at 12 AM",Sunday,4
Male,"April 21, 2019 at 11 PM",Sunday,41
Female,"April 21, 2019 at 11 PM",Sunday,9
Male,"April 21, 2019 at 10 PM",Sunday,104
Female,"April 21, 2019 at 10 PM",Sunday,24
Male,"April 21, 2019 at 9 PM",Sunday,117
Female,"April 21, 2019 at 9 PM",Sunday,40
Male,"April 21, 2019 at 8 PM",Sunday,167
Female,"April 21, 2019 at 8 PM",Sunday,58
Male,"April 21, 2019 at 7 PM",Sunday,340
Female,"April 21, 2019 at 7 PM",Sunday,129
Male,"April 21, 2019 at 6 PM",Sunday,396
Female,"April 21, 2019 at 6 PM",Sunday,188
Male,"April 21, 2019 at 5 PM",Sunday,431
Female,"April 21, 2019 at 5 PM",Sunday,212
Male,"April 21, 2019 at 4 PM",Sunday,502
Female,"April 21, 2019 at 4 PM",Sunday,266
Male,"April 21, 2019 at 3 PM",Sunday,524
Female,"April 21, 2019 at 3 PM",Sunday,329
Male,"April 21, 2019 at 2 PM",Sunday,561
Female,"April 21, 2019 at 2 PM",Sunday,325
Male,"April 21, 2019 at 1 PM",Sunday,496
Female,"April 21, 2019 at 1 PM",Sunday,272
Male,"April 21, 2019 at 12 PM",Sunday,529
Female,"April 21, 2019 at 12 PM",Sunday,275
Male,"April 21, 2019 at 11 AM",Sunday,378
Female,"April 21, 2019 at 11 AM",Sunday,219
Male,"April 21, 2019 at 10 AM",Sunday,300
Female,"April 21, 2019 at 10 AM",Sunday,163
Male,"April 21, 2019 at 9 AM",Sunday,182
Female,"April 21, 2019 at 9 AM",Sunday,88
Male,"April 21, 2019 at 8 AM",Sunday,122
Female,"April 21, 2019 at 8 AM",Sunday,56
Male,"April 21, 2019 at 7 AM",Sunday,57
Female,"April 21, 2019 at 7 AM",Sunday,26
Male,"April 21, 2019 at 6 AM",Sunday,27
Female,"April 21, 2019 at 6 AM",Sunday,14
Male,"April 21, 2019 at 5 AM",Sunday,17
Female,"April 21, 2019 at 5 AM",Sunday,6
Male,"April 21, 2019 at 4 AM",Sunday,13
Male,"April 21, 2019 at 3 AM",Sunday,10
Female,"April 21, 2019 at 3 AM",Sunday,1
Male,"April 21, 2019 at 2 AM",Sunday,17
Female,"April 21, 2019 at 2 AM",Sunday,3
Male,"April 21, 2019 at 1 AM",Sunday,23
Female,"April 21, 2019 at 1 AM",Sunday,7
Male,"April 21, 2019 at 12 AM",Sunday,52
Female,"April 21, 2019 at 12 AM",Sunday,6
Male,"April 14, 2019 at 11 PM",Sunday,12
Female,"April 14, 2019 at 11 PM",Sunday,2
Male,"April 14, 2019 at 10 PM",Sunday,9
Male,"April 14, 2019 at 9 PM",Sunday,18
Female,"April 14, 2019 at 9 PM",Sunday,2
Male,"April 14, 2019 at 8 PM",Sunday,18
Female,"April 14, 2019 at 8 PM",Sunday,6
Male,"April 14, 2019 at 7 PM",Sunday,39
Female,"April 14, 2019 at 7 PM",Sunday,5
Male,"April 14, 2019 at 6 PM",Sunday,43
Female,"April 14, 2019 at 6 PM",Sunday,6
Male,"April 14, 2019 at 5 PM",Sunday,44
Female,"April 14, 2019 at 5 PM",Sunday,11
Male,"April 14, 2019 at 4 PM",Sunday,34
Female,"April 14, 2019 at 4 PM",Sunday,7
Male,"April 14, 2019 at 3 PM",Sunday,28
Female,"April 14, 2019 at 3 PM",Sunday,1
Male,"April 14, 2019 at 2 PM",Sunday,29
Female,"April 14, 2019 at 2 PM",Sunday,6
Male,"April 14, 2019 at 1 PM",Sunday,10
Female,"April 14, 2019 at 1 PM",Sunday,6
Male,"April 14, 2019 at 12 PM",Sunday,18
Female,"April 14, 2019 at 12 PM",Sunday,8
Male,"April 14, 2019 at 11 AM",Sunday,19
Female,"April 14, 2019 at 11 AM",Sunday,3
Male,"April 14, 2019 at 10 AM",Sunday,29
Female,"April 14, 2019 at 10 AM",Sunday,9
Male,"April 14, 2019 at 9 AM",Sunday,23
Female,"April 14, 2019 at 9 AM",Sunday,3
Male,"April 14, 2019 at 8 AM",Sunday,26
Female,"April 14, 2019 at 8 AM",Sunday,7
Male,"April 14, 2019 at 7 AM",Sunday,20
Female,"April 14, 2019 at 7 AM",Sunday,9
Male,"April 14, 2019 at 6 AM",Sunday,6
Female,"April 14, 2019 at 6 AM",Sunday,2
Male,"April 14, 2019 at 5 AM",Sunday,9
Female,"April 14, 2019 at 5 AM",Sunday,2
Male,"April 14, 2019 at 4 AM",Sunday,5
Female,"April 14, 2019 at 4 AM",Sunday,1
Male,"April 14, 2019 at 3 AM",Sunday,7
Male,"April 14, 2019 at 2 AM",Sunday,15
Female,"April 14, 2019 at 2 AM",Sunday,2
Male,"April 14, 2019 at 1 AM",Sunday,30
Female,"April 14, 2019 at 1 AM",Sunday,4
Male,"April 14, 2019 at 12 AM",Sunday,41
Female,"April 14, 2019 at 12 AM",Sunday,5
Male,"April 7, 2019 at 11 PM",Sunday,40
Female,"April 7, 2019 at 11 PM",Sunday,6
Male,"April 7, 2019 at 10 PM",Sunday,47
Female,"April 7, 2019 at 10 PM",Sunday,12
Male,"April 7, 2019 at 9 PM",Sunday,72
Female,"April 7, 2019 at 9 PM",Sunday,15
Male,"April 7, 2019 at 8 PM",Sunday,93
Female,"April 7, 2019 at 8 PM",Sunday,26
Male,"April 7, 2019 at 7 PM",Sunday,137
Female,"April 7, 2019 at 7 PM",Sunday,55
Male,"April 7, 2019 at 6 PM",Sunday,127
Female,"April 7, 2019 at 6 PM",Sunday,34
Male,"April 7, 2019 at 5 PM",Sunday,347
Female,"April 7, 2019 at 5 PM",Sunday,151
Male,"April 7, 2019 at 4 PM",Sunday,281
Female,"April 7, 2019 at 4 PM",Sunday,132
Male,"April 7, 2019 at 3 PM",Sunday,255
Female,"April 7, 2019 at 3 PM",Sunday,119
Male,"April 7, 2019 at 2 PM",Sunday,302
Female,"April 7, 2019 at 2 PM",Sunday,147
Male,"April 7, 2019 at 1 PM",Sunday,308
Female,"April 7, 2019 at 1 PM",Sunday,130
Male,"April 7, 2019 at 12 PM",Sunday,375
Female,"April 7, 2019 at 12 PM",Sunday,172
Male,"April 7, 2019 at 11 AM",Sunday,294
Female,"April 7, 2019 at 11 AM",Sunday,118
Male,"April 7, 2019 at 10 AM",Sunday,206
Female,"April 7, 2019 at 10 AM",Sunday,93
Male,"April 7, 2019 at 9 AM",Sunday,172
Female,"April 7, 2019 at 9 AM",Sunday,82
Male,"April 7, 2019 at 8 AM",Sunday,108
Female,"April 7, 2019 at 8 AM",Sunday,71
Male,"April 7, 2019 at 7 AM",Sunday,49
Female,"April 7, 2019 at 7 AM",Sunday,26
Male,"April 7, 2019 at 6 AM",Sunday,19
Female,"April 7, 2019 at 6 AM",Sunday,11
Male,"April 7, 2019 at 5 AM",Sunday,8
Female,"April 7, 2019 at 5 AM",Sunday,4
Male,"April 7, 2019 at 4 AM",Sunday,16
Male,"April 7, 2019 at 3 AM",Sunday,19
Female,"April 7, 2019 at 3 AM",Sunday,2
